model,roc_auc,brier,f1,precision,recall,accuracy
LogReg,0.912801308539945,0.09304693574286746,0.301255230125523,0.18461538461538463,0.8181818181818182,0.8775659824046921
RandomForest,0.9315599173553719,0.022323607038123167,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.9706744868035191
XGBoost,0.9396005509641874,0.024695768479732278,0.45569620253164556,0.5142857142857142,0.4090909090909091,0.968475073313783
